match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8752047209,7354867583,True,1774972766,1268,0,23,41,5,193,"[101, 1, 35, 112, 128]","[38, 26, 64, 61, 45]"
8752047178,7354865676,True,1774972780,1175,0,23,14,1,191,"[74, 22, 20, 93, 2]","[10, 70, 90, 39, 94]"
8752047157,7354864035,True,1774972785,1092,0,23,34,2,273,"[54, 80, 11, 99, 75]","[5, 14, 35, 52, 53]"
8752047118,7354868893,False,1774972780,1330,0,23,33,4,202,"[131, 86, 60, 25, 87]","[56, 26, 14, 30, 22]"
8752047107,7354861784,True,1774972780,989,0,23,12,1,192,"[104, 33, 48, 155, 4]","[11, 106, 42, 5, 136]"
8752047106,7354864421,False,1774972780,1114,0,23,14,1,182,"[22, 61, 89, 84, 88]","[37, 15, 14, 86, 6]"
8752047086,7354865665,False,1774972771,1183,0,23,41,3,272,"[95, 34, 12, 100, 99]","[29, 105, 35, 14, 86]"
8752047050,7354868317,True,1774972776,1300,0,23,22,1,183,"[94, 97, 86, 44, 71]","[14, 41, 91, 25, 56]"
8752047048,7354866219,False,1774972775,1218,0,23,32,6,223,"[84, 72, 26, 54, 111]","[121, 14, 8, 96, 100]"
8752047027,7354855387,False,1774972775,669,0,23,22,1,182,"[74, 123, 104, 129, 75]","[91, 96, 101, 12, 11]"
8752047011,7354867873,True,1774972776,1283,0,23,52,5,193,"[119, 126, 45, 69, 41]","[63, 86, 71, 14, 101]"
8752047008,7354860149,False,1774972775,917,0,23,45,3,193,"[36, 112, 17, 30, 44]","[14, 22, 29, 35, 37]"
8752046986,7354862959,True,1774972776,1044,0,23,63,2,272,"[40, 54, 28, 19, 87]","[14, 26, 11, 85, 90]"
8752046892,7354868591,True,1774972771,1338,0,23,41,2,183,"[68, 46, 138, 100, 26]","[84, 30, 22, 40, 39]"
8752046848,7354865051,False,1774972770,1159,0,23,32,2,271,"[59, 17, 57, 18, 27]","[9, 84, 123, 1, 58]"
8752046843,7354868390,True,1774972765,1304,0,23,55,3,251,"[22, 128, 35, 55, 14]","[93, 3, 123, 74, 71]"
8752046842,7354849298,True,1774972760,382,0,23,75,2,274,"[28, 74, 15, 84, 39]","[11, 88, 93, 29, 27]"
8752046809,7354866585,True,1774972765,1248,0,23,54,6,184,"[71, 5, 27, 3, 14]","[22, 67, 10, 84, 33]"
8752046788,7354869194,False,1774972760,1371,0,23,42,4,185,"[104, 74, 86, 63, 120]","[15, 5, 65, 48, 12]"
8752046785,7354851919,True,1774972745,535,0,23,31,3,182,"[71, 14, 65, 74, 68]","[72, 36, 9, 138, 35]"
8752046767,7354862876,True,1774972760,1064,0,23,55,6,271,"[88, 75, 12, 25, 106]","[10, 74, 26, 97, 31]"
